start_lat,start_lon,target_lat,target_lon
5.05569394279939,-75.486215137551,5.05884495602283,-75.45640397463097
5.05884495602283,-75.45640397463097,5.066130043482475,-75.30233714453851
5.066130043482475,-75.30233714453851,5.066130043482475,-75.30233714453851
5.066130043482475,-75.30233714453851,5.071944663163302,-75.29313966189504
5.071944663163302,-75.29313966189504,5.14859700490627,-75.03610922114018
5.14859700490627,-75.03610922114018,5.1942519407328085,-74.88637674686862
5.1942519407328085,-74.88637674686862,5.208164299976927,-74.73826906728279
5.208164299976927,-74.73826906728279,5.286259649291835,-74.73629783053971
5.286259649291835,-74.73629783053971,5.2877,-74.7367
5.2877,-74.7367,5.453790213116938,-74.66178848323105
5.453790213116938,-74.66178848323105,5.4545727849190815,-74.66175789447935
5.4545727849190815,-74.66175789447935,8.318783559972657,-73.74546331139253
8.318783559972657,-73.74546331139253,8.99305513819329,-73.96841017298388
8.99305513819329,-73.96841017298388,9.1403,-74.2261
9.1403,-74.2261,9.2350,-74.4166
9.2350,-74.4166,9.4266,-74.6992
9.4266,-74.6992,9.4295,-74.7393
9.4295,-74.7393,9.4813,-74.7955
9.4813,-74.7955,9.4295,-74.7393
9.4295,-74.7393,9.4813,-74.7955
9.4813,-74.7955,9.7484,-74.8092
9.7484,-74.8092,9.8964,-74.8654
9.8964,-74.8654,9.9395,-74.8664
9.9395,-74.8664,9.9765,-74.7836
9.9765,-74.7836,10.1282,-74.9439
10.1282,-74.9439,10.1923,-74.9211
10.1923,-74.9211,10.253755082363734,-74.91148151120828
10.253755082363734,-74.91148151120828,10.98576063327465,-74.77545991285888
10.98576063327465,-74.77545991285888,10.989492534955131,-74.77959557040838
10.989492534955131,-74.77959557040838,10.988223097092881,-74.95910877363858
10.988223097092881,-74.95910877363858,10.99273338762913,-74.96789157162492
