Type,Subtype,Nombre,Department,City,Latitude,Longitude
Volcán,,Nevado del Ruiz,Caldas,,4.8925,-75.3242
Volcán,,Galeras,Nariño,,1.2211,-77.3586
Volcán,,Nevado del Huila,Huila,,2.9287,-76.0296
Volcán,,Puracé,Cauca,,2.3294,-76.4923
Volcán,,Doña Juana,Nariño,,1.4817,-76.9325
Volcán,,Cumbal,Nariño,,0.9456,-77.7131
Volcán,,Azufral,Nariño,,1.0936,-77.7056
