OMS_Way_Id,Node_Id,Latitude,Longitude
248954095,1033751129,9.3146541,-74.5660185
248954095,1033748212,9.3152928,-74.5667363
248954095,1033750181,9.3162682,-74.5684073
248954095,1033746628,9.3178237,-74.5710827
248954095,1033753909,9.3186247,-74.5730490
248954095,1033750448,9.3199985,-74.5759987
248954095,1033752721,9.3210266,-74.5797571
248954095,1033749359,9.3216530,-74.5833415
248954095,1033754366,9.3224525,-74.5863482
248954095,1033750941,9.3229662,-74.5884298
248954095,1033753443,9.3235943,-74.5908005
248954095,1033749957,9.3242286,-74.5927940
248954095,1033749140,9.3260338,-74.5959430
248954095,1033753701,9.3273314,-74.5981357
248954095,1033747845,9.3283879,-74.5999981
248954095,7852086202,9.3292129,-74.6009337
248954095,1033752415,9.3299939,-74.6017607
248954095,1033749062,9.3316979,-74.6035329
248954095,1033753588,9.3325668,-74.6045277
248954095,1033747698,9.3336638,-74.6059656
248954095,1033752338,9.3358103,-74.6085158
248954095,1033751027,9.3375809,-74.6107078
248954095,1033748029,9.3389042,-74.6123707
248954095,1033750083,9.3398624,-74.6135657
248954095,1033754451,9.3407984,-74.6145519
248954095,1033751686,9.3417457,-74.6152882
248954095,1033748869,9.3427503,-74.6157072
248954095,1033750703,9.3438534,-74.6156377
248954095,1033747308,9.3452614,-74.6151173
248954095,1033754289,9.3473523,-74.6147579
248954095,1033750865,9.3504773,-74.6144056
248954095,1033753313,9.3527054,-74.6140645
248954095,1033749882,9.3547626,-74.6133906
248954095,1033746907,9.3564362,-74.6131817
248954095,1033751313,9.3580761,-74.6131540
248954095,1033753862,9.3598546,-74.6132612
248954095,1033750371,9.3621288,-74.6136049
248954095,1033749574,9.3647419,-74.6145629
248954095,1033754099,9.3670723,-74.6155113
248954095,1033748453,9.3694046,-74.6168130
248954095,1033752972,9.3712783,-74.6183013
248954095,1033750137,9.3729895,-74.6196433
248954095,1033746496,9.3744494,-74.6210398
248954095,1033749101,9.3758066,-74.6225785
248954095,1033753652,9.3768619,-74.6241517
248954095,1033752640,9.3782479,-74.6267539
248954095,1033749296,9.3794977,-74.6302917
248954095,1033751068,9.3799143,-74.6319779
248954095,1033748140,9.3804232,-74.6335466
248954095,1033752488,9.3811639,-74.6370741
248954095,1033749208,9.3811605,-74.6392130
248954095,1033750988,9.3813281,-74.6421615
248954095,7852167371,9.3816547,-74.6444903
248954095,1033747933,9.3817254,-74.6449948
248954095,1033746750,9.3820079,-74.6478279
248954095,1033751206,9.3822220,-74.6496803
248954095,1033753745,9.3827275,-74.6521828
248954095,1033750224,9.3833864,-74.6540657
248954095,1033747618,9.3840833,-74.6559177
