OMS_Way_Id,Node_Id,Latitude,Longitude
91365705,582785928,9.4294986,-74.7392331
91365705,1033748684,9.4313951,-74.7377555
91365705,1033750549,9.4351266,-74.7378204
91365705,1033747141,9.4369056,-74.7381707
91365705,1033751319,9.4417248,-74.7397988
91365705,1033748471,9.4466921,-74.7423035
91365705,11017058237,9.4470800,-74.7426203
91365705,11017058238,9.4498605,-74.7448911
91365705,1033750391,9.4505862,-74.7454837
91365705,1033746917,9.4531915,-74.7486503
91365705,1033754107,9.4573236,-74.7522955
91365705,1033750707,9.4594751,-74.7540662
91365705,1033752985,9.4612170,-74.7557780
91365705,1033749586,9.4619639,-74.7574414
91365705,1033746513,9.4638977,-74.7606767
91365705,1033751073,9.4650494,-74.7649367
91365705,1033753660,9.4656588,-74.7703583
91365705,7889541395,9.4655958,-74.7709111
91365705,1033750143,9.4650231,-74.7759370
91365705,7889541396,9.4649476,-74.7762777
91365705,7889541397,9.4642020,-74.7796407
91365705,1033749310,9.4641109,-74.7800517
91365705,1033753870,9.4632855,-74.7824764
91365705,1033748147,9.4589147,-74.7884631
91365705,1033752651,9.4560891,-74.7919822
91365705,1033749924,9.4531046,-74.7956300
91365705,1033754332,9.4511997,-74.7984624
91365705,1033748935,9.4496333,-74.8009515
91365705,1033753383,9.4483210,-74.8027539
91365705,1033752380,9.4470708,-74.8042258
91365705,1033749106,9.4467463,-74.8050163
