OMS_Way_Id,Node_Id,Latitude,Longitude
89114136,582785755,9.2338286,-74.4152235
89114136,1033749363,9.2344904,-74.4158515
89114136,1033751133,9.2350128,-74.4164622
89114136,1033748223,9.2361647,-74.4176561
89114136,1033753448,9.2371731,-74.4189727
89114136,1033749961,9.2381050,-74.4200349
89114136,1033751947,9.2391745,-74.4209790
89114136,1033748977,9.2402335,-74.4216764
89114136,1033747854,9.2411230,-74.4222772
89114136,1033752419,9.2418854,-74.4228351
89114136,1033754370,9.2427220,-74.4234681
89114136,1033750946,9.2439504,-74.4241762
89114136,1033748682,9.2454859,-74.4249058
89114136,1033753160,9.2475720,-74.4256353
89114136,1033747139,9.2494781,-74.4265044
89114136,1033751441,9.2522843,-74.4276738
89114136,1033750781,9.2545609,-74.4286609
89114136,1033747533,9.2562870,-74.4295192
89114136,1033749766,9.2573459,-74.4301093
89114136,1033754200,9.2585954,-74.4307208
89114136,1033751205,9.2602790,-74.4314504
89114136,1033748267,9.2611368,-74.4316650
89114136,1033750223,9.2641228,-74.4322550
89114136,1033746749,9.2659971,-74.4320619
89114136,1033753975,9.2678925,-74.4316328
89114136,1033750539,9.2698726,-74.4312894
89114136,1033752812,9.2711538,-74.4314075
89114136,1033749401,9.2727739,-74.4320405
89114136,1033753868,9.2743092,-74.4333172
89114136,1033750389,9.2751351,-74.4345617
89114136,1033752984,9.2752939,-74.4364715
89114136,1033746916,9.2745951,-74.4395828
89114136,1033751318,9.2739280,-74.4414067
89114136,1033749105,9.2730915,-74.4426727
89114136,1033753659,9.2721809,-74.4435954
89114136,1033747781,9.2696714,-74.4452584
89114136,1033752379,9.2685701,-74.4467712
89114136,1033751072,9.2680831,-74.4482625
89114136,1033748146,9.2681466,-74.4498074
89114136,1033750142,9.2685596,-74.4513846
89114136,1033746512,9.2690255,-74.4523394
89114136,1033751839,9.2696263,-74.4540456
89114136,1033748934,9.2699693,-74.4554330
89114136,1033750741,9.2704270,-74.4569361
89114136,1033747445,9.2711141,-74.4586128
89114136,1033754331,9.2712271,-74.4603466
89114136,1033750907,9.2713403,-74.4619072
89114136,1033753381,9.2709940,-74.4635250
89114136,1033749923,9.2703036,-74.4649112
89114136,1033747028,9.2692680,-74.4669328
89114136,1033751359,9.2676571,-74.4700517
89114136,1033753915,9.2669097,-74.4710333
89114136,1033750456,9.2655874,-74.4727078
89114136,1033749674,9.2639771,-74.4751910
89114136,1033754151,9.2627128,-74.4762876
89114136,1033748546,9.2609897,-74.4770369
89114136,1033753066,9.2590935,-74.4784795
89114136,1033754026,9.2577144,-74.4795760
89114136,1033750651,9.2564500,-74.4807303
89114136,1033752886,9.2555034,-74.4818115
89114136,1033749480,9.2545186,-74.4829595
89114136,1042003291,9.2536185,-74.4839680
89114136,1033748753,9.2528561,-74.4847727
89114136,1033753230,9.2518077,-74.4859099
89114136,1033747218,9.2497216,-74.4882810
89114136,1033751544,9.2479426,-74.4906521
89114136,1033749243,9.2466401,-74.4925618
89114136,1033753785,9.2458671,-74.4938171
89114136,1033748013,9.2449564,-74.4957268
89114136,1033752558,9.2439398,-74.4972396
89114136,1033751259,9.2420761,-74.4992674
89114136,1033748346,9.2405723,-74.5008445
89114136,1033750266,9.2393228,-74.5019925
89114136,1033746816,9.2379885,-74.5035803
89114136,1033752332,9.2363365,-74.5057368
89114136,1033749055,9.2348887,-74.5083852
89114136,1033750860,9.2343124,-74.5101758
89114136,1033747685,9.2337926,-74.5127177
89114136,1033754446,9.2339961,-74.5151460
89114136,1033751022,9.2347634,-74.5169951
89114136,1033753577,9.2354681,-74.5182574
89114136,1033750073,9.2365589,-74.5195878
89114136,1033751677,9.2375331,-74.5203710
89114136,1033754087,9.2384121,-74.5211756
89114136,1033750697,9.2394816,-74.5218837
89114136,1033749877,9.2403235,-74.5223612
89114136,1033754284,9.2408424,-74.5227206
89114136,1033748854,9.2410012,-74.5228654
89114136,1033753305,9.2411706,-74.5229781
89114136,1033749762,9.2413242,-74.5231122
89114136,1033754195,9.2414062,-74.5231641
